subject_id,sex,split
NDARINVBCRLXUZX,1,validation
NDARINVPWDDAD3B,1,validation
NDARINVHXFHEYX7,1,validation
NDARINV5HDBZPE1,1,validation
NDARINV3ZHEYRWE,1,validation
NDARINV0CBFTKR7,1,validation
NDARINVNY4HU8H1,2,validation
NDARINV9W6CZFBK,1,validation
NDARINVVNPA317C,2,validation
NDARINVAZYU06NV,1,validation
NDARINVDTL56WZU,2,validation
NDARINVUH6R1YZV,2,validation
NDARINVN5FRRMAK,2,validation
NDARINV90EAVZED,2,validation
NDARINV38MDKPJC,1,validation
NDARINVZ4LY1E6P,2,validation
NDARINV2UKALPPX,2,validation
NDARINV32CJUUBP,1,validation
NDARINV1JWGJFFK,2,validation
NDARINV735T3VEK,2,validation
NDARINVPJAYKP36,2,validation
NDARINVVKPJ803Y,2,validation
NDARINVJ5VHG1C3,1,validation
NDARINVV0AKNDFH,2,validation
NDARINVZ62Y3LZB,1,validation
NDARINV22BFDVEJ,2,validation
NDARINVCKB3W23J,2,validation
NDARINVUJ86W3MP,2,validation
NDARINVHA6109FD,1,validation
NDARINV5A6YDAY7,2,validation
NDARINVGMXWG7WT,2,validation
NDARINV2JB8MUAJ,2,validation
NDARINV5P2UAGPW,2,validation
NDARINV891DYM0E,1,validation
NDARINVWP33RGJG,1,validation
NDARINVZ4EUPN6C,1,validation
NDARINVJN635BT6,2,validation
NDARINV5F54ZMX4,1,validation
NDARINV79KGLZX3,1,validation
NDARINV26YB6ZJ9,1,validation
NDARINVB18N983V,2,validation
NDARINV5B0XG3JG,2,validation
NDARINVR77YG5G1,2,validation
NDARINV82NHMAYL,2,validation
NDARINVR8NY2TWV,2,validation
NDARINV1BN4RDAD,1,validation
NDARINVJ3151NM9,2,validation
NDARINVBGH53Z59,2,validation
NDARINVLWR6LC0N,1,validation
NDARINVG7MJ6VJM,2,validation
NDARINVYP9TDUUM,2,validation
NDARINV4B1YV01D,2,test
NDARINVPE5JBKJ3,2,test
NDARINVU100FWU2,2,test
NDARINV9JVCWZP3,1,test
NDARINV8JZYDPH1,1,test
NDARINV753T05PF,1,test
NDARINV36K7YFLB,1,test
NDARINV07CMT243,2,test
NDARINV0CTJAAHC,1,test
NDARINVTT9JRJDR,1,test
NDARINV0T5DCF9K,1,test
NDARINVA2T7V5L9,1,test
NDARINVXT5GA7K9,2,test
NDARINVPHDJPYND,1,test
NDARINVMTJLG5JL,2,test
NDARINVML43DJ88,1,test
NDARINVEEVBDEC7,2,test
NDARINVBY8XVNJT,2,test
NDARINV2XAHZZ2A,1,test
NDARINVLUZ9DL2U,1,test
NDARINV3R6TY43Y,2,test
NDARINV67TUZJU7,2,test
NDARINVXUFCDBP0,1,test
NDARINV7G7KU2PH,1,test
NDARINVNMC8EYAA,2,test
NDARINVUZY9W14J,1,test
NDARINV7ZG74PKJ,1,test
NDARINVT9UBPF4A,2,test
NDARINVFJ47RZ0M,1,test
NDARINV9WY3R321,2,test
NDARINV49PA9KKY,1,test
NDARINV8371H1L8,1,test
NDARINV1GDR72XA,2,test
NDARINVJ64XU6U9,1,test
NDARINVHRNX3BK4,2,test
NDARINVG6NB3W1G,1,test
NDARINVPAXW8WZB,2,test
NDARINVDCRLF3FV,2,test
NDARINVNE5HMEV6,1,test
NDARINVCK8WM58K,1,test
NDARINVA41WLWNU,1,test
NDARINVJXUKE3JB,1,test
NDARINVYZGRYL84,1,test
NDARINVREBD8GTZ,2,test
NDARINVGH562UEB,1,test
NDARINV8ZXPKPRN,1,test
NDARINVTLEM4F9A,2,test
NDARINVD9ZEJ36L,1,test
NDARINVB4CA1YNH,2,test
NDARINVJGAM9713,1,test
NDARINVYY60EGDK,1,test
NDARINVV7F3YE27,1,test
NDARINVFAB59JPF,1,test
NDARINVB60GTH59,1,test
NDARINVER4M9TW3,1,test
NDARINVCU0FZ4FB,2,test
NDARINVHJ29TGE0,1,test
NDARINVPETLL0NE,2,test
NDARINVR6YF8VHD,1,test
NDARINV2C2HN3CL,2,test
NDARINVP3MH0EFB,2,test
NDARINV2DBPLRUD,2,test
NDARINVV1LRPT07,2,test
NDARINVV0BMK3B8,1,test
NDARINV28YL6NAY,2,test
NDARINVPV6F4UYA,2,test
NDARINV8DV0K9FK,1,test
NDARINVKE6Z3413,2,test
NDARINVFLP37NUM,2,test
NDARINV2N1EAVTY,2,test
NDARINV75UAC3KM,2,test
NDARINVCJ8FE0MN,1,test
NDARINVAUK18A9C,2,test
NDARINVF5PMDLB4,1,test
NDARINVUH77PVBN,2,test
NDARINVTMX63F51,2,test
NDARINVMYBT9KJV,2,test
NDARINVRXYTYPR3,1,test
NDARINVW693E6M9,2,test
NDARINV2T6WFDFJ,2,test
NDARINVHDNWHYA8,2,test
NDARINVHWMBN7Y4,2,test
NDARINV7H8LD2B5,1,test
NDARINVJR7AD66J,1,test
NDARINV6UYXYTEH,1,test
NDARINVRCFLYCF4,2,test
NDARINVX6FUJZVN,1,test
NDARINVN1UYXP41,1,test
NDARINV2UR3G0TV,1,test
NDARINVLF41F4P6,2,test
NDARINV5JX1E1YG,2,test
NDARINV9V1RV3V5,2,test
NDARINV0XKVPBB0,2,test
NDARINVD43PR719,2,test
NDARINV7M5CVFA6,1,test
NDARINVPZDDVLGW,2,test
NDARINVNUAGE7UT,2,test
NDARINVTN9RVYB1,1,test
NDARINV2NVAXBZL,2,test
NDARINVZJ7JH5RE,2,test
